id,level_1,level_2,level_3,level_4,content,label
0,工业/危化品类（现场）—2016版,（二）电气安全,6、移动用电产品、电动工具及照明,1、移动使用的用电产品和I类电动工具的绝缘线，必须采用三芯(单相)或四芯(三相)多股铜芯橡套软线。,"使用移动手动电动工具,外接线绝缘皮破损,应停止使用.",0
1,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,3、消防设施、器材和消防安全标志是否在位、完整；,一般,1
2,工业/危化品类（现场）—2016版,（一）消防检查,2、防火检查,6、重点工种人员以及其他员工消防知识的掌握情况；,消防知识要加强,0
3,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,3、消防设施、器材和消防安全标志是否在位、完整；,消防通道有货物摆放 清理不及时,0
4,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,4、常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用；,防火门打开状态,0
5,工业/危化品类（现场）—2016版,（一）消防检查,2、防火检查,8、易燃易爆危险物品和场所防火防爆措施的落实情况以及其他重要物资的防火安全情况；,防爆柜里面稀释剂，机油费混装,0
6,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,2、安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,已经整改,1
7,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,2、安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,逃生通道有货物阻挡。,0
8,工业/危化品类（现场）—2016版,（一）消防检查,2、防火检查,2、安全疏散通道、疏散指示标志、应急照明和安全出口情况；,已整改,1
9,工业/危化品类（现场）—2016版,（四）作业环境,1、作业通道,"1、作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",通道黄色线标脱落，已及时重新标好线标。,0
10,工业/危化品类（现场）—2016版,（一）消防检查,2、防火检查,4、灭火器材配置及有效情况；,气压不够，已更换,0
11,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,2、安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,通道有堆放货物,0
12,工业/危化品类（现场）—2016版,（一）消防检查,2、防火检查,10、防火巡查情况；,灭火器没检查，已检查，已整改,0
13,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,1、消防安全重点单位应当进行每日防火巡查，并确定巡查的人员、内容、部位和频次。其他单位可以根据需要组织防火巡查。巡查的内容应当包括：1、用火、用电有无违章情况；,三楼车间天花板脱落，找人维修,0
14,工业/危化品类（现场）—2016版,（三）机械设备安全防护,1、危险机械设备,1、冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,车间一推台锯未安装防护罩,0
15,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,2、安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,有一处安全出口不畅通,0
16,商贸服务教文卫类（现场）—2016版,（二）电气安全,1、配电房,3、配电室长度超过7m时，应设两个出口，并宜布置在配电室的两端。配电室应配备绝缘垫、绝缘棒、绝缘手套、绝缘鞋等防护用品，以及应急照明和灭火器材。,配电室长度超过7m时，没有设有两个出口,0
17,工业/危化品类（现场）—2016版,（一）消防检查,1、防火巡查,2、安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,疏散通道堆满货物,0
18,纯办公场所（基础）—2016版,（一）基础管理,2、应急管理,1、定期进行应急演练，有演练记录。,未进行消防演练,0
19,工业/危化品类（现场）—2016版,（一）消防检查,2、防火检查,6、重点工种人员以及其他员工消防知识的掌握情况；,新员工不能熟练掌握消防安全知识，已培训教育,0
